Corporation name,Address,City,Province/territory,Postal code,Country,Sector or industry,Offense address,Offense city,Offense province/territory,Case summary,Charges,Enforcement notification text,Enforcement notification URL,Result,Date of conviction,Court level,Nature of offense(s),Additional details about the nature of the offense,Legislative details,Date of sentencing,Place of sentencing,Sentence(s),Amount of fine(s),Sentencing details
SNE Sea Products Incorporated,7595 Main Street,Louisbourg,Nova Scotia,B1C 1J9,Canada,,,Louisbourg Harbour,Nova Scotia,Not available,Not available,"SNE Sea Products to pay $15,000 for disposal at sea violations",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/sne-sea-products-disposal-sea-violations.html,Guilty Plea,2012-05-30,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 125(1)(b)",2012-05-16,"Sydney, Nova Scotia",Fine|Penalty for the EDF,"$15,000","SYDNEY, N.S. -- May 30, 2012 -- On May 16, 2012, SNE Sea Products Incorporated, its CEO and President, Mr. Yong Taek Kim, and company director, Mr. Man Hwa Lee, pleaded guilty in Nova Scotia provincial court in Sydney to dumping hagfish into Louisbourg Harbour without a permit--a violation of the disposal at sea regulations of the Canadian Environmental Protection Act, 1999. The company was ordered to pay a $15,000 penalty. The Court ordered that all $15,000 of the penalty will be directed to the Environmental Damages Fund."
Clark Builders,8429 24 Street,Edmonton,Alberta,T6P 1L3,Canada,,North Saskatchewan River,Edmonton,Alberta,Not available,Not available,"Clark Builders fined $285,000 for release of chlorinated water into river",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/clark-builders-release-chlorinated-water.html,Guilty Plea,2012-01-13,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,"This relates to the release of approximately 12 million litres of chlorinated water into the North Saskatchewan River following the striking of a water main during a construction project on July 20, 2009. Sample analysis of the chlorinated water determined that it was harmful to fish. The North Saskatchewan River has the highest diversity of fish species of any river in Alberta, including burbot, mountain whitefish, walleye, sauger, and other species.",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2012-01-13,,Fine|Penalty for the EDF,"$285,000","Clark Builders has been ordered to pay a total penalty of $285,000, of which $15,000 is a fine, and $270,000 is to be paid to the Environmental Damages Fund (EDF), to be used for the specific purpose of conserving and protecting fish and/or fish habitat in the Province of Alberta."
Claude Resources Inc. - Seabee mine,"200, 224 - 4th Avenue S.",Saskatoon,Saskatchewan,S7K 5M5,Canada,,"200, 224 - 4th Avenue S. / Seebee gold mine",Saskatoon,Saskatchewan,Not available,Not available,,,Guilty Plea,2014-10-27,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2014-10-27,Saskatchewan Provincial Court,Fine|Penalty for the EDF,"$130,000","On October 27th, 2014, before the Saskatchewan Provincial Court, Claude Resources Inc. pleaded guilty to one charge under the Fisheries Act following a 24,000 litre spill of diesel from a storage tank at the Seabee Mine in January 2013. The company was sentenced to a fine of $130,000 to be paid to the Environmental Damages Fund."
Coastal Shipping Ltd- Woodward Oil Ltd,"P.O. Box 300, Station C",Goose Bay,Newfoundland and Labrador,A0P 1C0,Canada,,,William Harbour,Newfoundland and Labrador,Not available,Not available,"Coastal Shipping and former ship's master fined $115,000 for environmental violation",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/coastal-shipping-former-master-violation.html,Guilty Plea,2013-01-17,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,"These violations are the result of the September 2009 release of approximately 70 litres of diesel fuel from the vessel Mokami into the waters of Williams Harbour, Labrador. The spill occurred while fuel was being transferred from the ship to storage tanks in the community. The company and ship’s master pleaded guilty to failing to properly clean up the spill or mitigate damage, and to failing to report it to authorities.",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2013-01-17,"HAPPY VALLEY–GOOSEBAY, NL / HAPPY VALLEY–GOOSEBAY, T.-N.-L.",Fine|Penalty for the EDF,"$115,000","HAPPY VALLEY–GOOSEBAY, NL – January 17, 2013 – Coastal Shipping Limited and Bradley Doyle, former Ship’s Master of the vessel Mokami, have been fined a total of $115,000 after pleading guilty to violations under the federal Fisheries Act. The company was fined $100,000, and Doyle $15,000. The court is directing half of the total fines, or $57,500, to the Environmental Damages Fund."
Ocean Choice International L.P.,1315 Topsail Road,Paradise,Newfoundland and Labrador,A1L 1N8,Canada,,,St.Lawrence,Newfoundland and Labrador,Not Available,Not Available,,,Guilty (Court Decision),2013-07-24,Provincial and Territorial Court,Import or export without a permit,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 124(1)(b)",2013-07-24,"Grand Bank, NL",Penalty for the EDF,"$5,000",Entire monetary penalty paid in Contribution to the Environmental Damages Fund.
Compagnie Abitibi-Consolidated du Canada ,"20, rue Marquette",Baie-Comeau,Quebec,G4Z 1K6,Canada,,"20, rue Marquette",Baie-Comeau,Quebec,Not available,Not available,,,Guilty (Court Decision),2012-11-20,Provincial and Territorial Court,Other,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2012-11-20,,Fine|Penalty for the EDF,"$12,000","November 20, 2012, Compagnie Abitibi-Consolidated du Canada was found guilty and was imposed the penalty of $12000,00, distributed in a fine of $1000.00 and a payment of $11000,00 to the environmental damages Fund. Environment Canada was advised by AbitibiBowater's Baie-Comeau of a discharge of an unknown quantity of hydraulic oil from an equipment failure on the heat exchanger from of of thier paper machines. The oil mixed with the non-contaminated wastewater effluent which then combined with the effluent from the secondary treatment. The final effluent discharged near the wharf at Baie-Comeau. This judgment is made on agreed statement of facts."
Corner Brook Pulp and Paper,1 Mill Road,Corner Brook,Newfoundland and Labrador,A2H 6J4,Canada,,,Humber Arm,Newfoundland and Labrador,Not available,Not available,,,Guilty Plea,2010-06-11,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2010-06-30,Newfoundland and Labrador Provincial Court,Fine|Penalty for the EDF,"$50,000","Corner Brook Pulp and Paper pleaded guilty to violating the federal Fisheries Act during a sentencing hearing held on June 11, 2010 in Newfoundland and Labrador Provincial Court in Corner Brook. Today, June 30, the Court ordered the company to pay a total penalty of $50,000. The penalty includes a court ordered payment of $45,000 to the Environmental Damages Fund, which is administered by Environment Canada. The remaining $5,000 fine is to be paid to the court."
Bruce Power Limited,"177 Tie Road, R.R. #2 / P.O. Box 1540",Tiverton,Ontario,N0G 2T0,Canada,,"177 Tie Road, RR#2",Tiverton,Ontario,Not Available,Not Available,"Bruce Power Receives $100,000 Penalty for Environmental Violation",http://www.ec.gc.ca/default.asp?lang=En&n=714D9AAE-1&news=355A28DF-BBDB-47B6-BD34-3E3D406D2773,Guilty Plea,2012-10-29,Provincial and Territorial Court,Failed to conduct a study,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 11(1)",2012-10-29,"Walkerton, Ontario","Fine|Other penalty (provincial, charity, etc)|Penalty for the EDF","$100,000","On October 29, 2012, Bruce Power Limited Partnership pleaded guilty in the Ontario Provincial Court of Justice to one count of violating the Canadian Environmental Protection Act, 1999 (CEPA, 1999). This has resulted in a penalty of $100,000. The charge is for failure to conduct a leak test of all the components of an air-conditioning system or refrigeration system, contrary to the Federal Halocarbon Regulations, 2003. Bruce Power Limited Partnership is required to pay a total penalty of $100,000, which is broken down as follows: a fine of $40,000 for one count under CEPA, 1999, to be directed to the Environmental Damages Fund; a court order for an additional $20,000 awarded directly to the Environmental Damages Fund; a court order to pay $20,000 to the Saugeen Valley Conservation Foundation, $15,000 to sauGREEN for the Environment, and $5,000 to the Penetangore Watershed Group."
Domtar Incorporated Espanola Mill,1 Station Road,Espanola ,Ontario,P5E 1R6,Canada,,1 Station Road,Espanola ,Ontario,"ESPANOLA, Ont. - December 20, 2013 - Domtar Inc. was sentenced on December 17, 2013, in Ontario Provincial Court for violating the Fisheries Act and was ordered to pay $75,000, of which $67,500 will be directed to the Environmental Damages Fund.
Domtar Inc. pleaded guilty to one count pursuant to subsection 36(3) of the Fisheries Act for offences occurring at its mill in Espanola, Ontario, between December 14 and 16 of 2010. Domtar Inc. failed to adhere to the regulatory limits for biochemical oxygen demand (BOD) and thereby deposited effluent that was deleterious to fish, contrary to the Fisheries Act. Discharge of BOD matter into water leads to the consumption of oxygen in the receiving water which may render the water uninhabitable to fish and other aquatic organisms.
Environment Canada's enforcement personnel conduct inspections and investigations under a number of acts and regulations including the Fisheries Act. They help ensure that companies, government entities and the general public comply with legislation and regulations that protect Canada's environment.
The Environmental Damages Fund, which is administered by Environment Canada, was created in 1995 to provide a mechanism for directing funds received as a result of fines, court orders and voluntary payments to priority projects that will benefit our environment.",Not available,"Domtar must pay $75,000 for violations of Fisheries Act",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/domtar-pay-violations-fisheries-act.html,Guilty Plea,2013-12-17,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,"Domtar Inc. failed to adhere to the regulatory limits for biochemical oxygen demand (BOD) and thereby deposited effluent that was deleterious to fish, contrary to the Fisheries Act. Discharge of BOD matter into water leads to the consumption of oxygen in the receiving water which may render the water uninhabitable to fish and other aquatic organisms.",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2013-12-20,ONTARIO COURT OF JUSTICE (North Region) ,Fine,"$75,000","Domtar Inc. pleaded guilty to one count pursuant to subsection 36(3) of the Fisheries Act for offences occurring at its mill in Espanola, Ontario, between December 14 and 16 of 2010. Domtar Inc. failed to adhere to the regulatory limits for biochemical oxygen demand (BOD) and thereby deposited effluent that was deleterious to fish, contrary to the Fisheries Act. Discharge of BOD matter into water leads to the consumption of oxygen in the receiving water which may render the water uninhabitable to fish and other aquatic organisms.
Domtar Inc. was sentenced on December 17, 2013, in Ontario Provincial Court for violating the Fisheries Act and was ordered to pay $75,000, of which $67,500 will be directed to the Environmental Damages Fund."
Canadian Natural Resources Limited,9705 - 97 Street Gold Creek Office,Grande Prairie,Alberta,,Canada,,16-7-82-11 W6M,Spirit River,Alberta,Not available,Not available,"Canadian Natural Resources Limited must pay $125,000 penalty for spill",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/canadian-natural-resources-penalty-spill.html,Guilty Plea,2015-03-13,Provincial and Territorial Court,,"The offence stems from a crude oil spill from an emergency overflow tankonMay23,2010, at a Canadian Natural Resources Limited site near the town of Spirit River. In total, an estimated 6,000litres of crude oil was released, of which approximately 750litres entered Sneddon Creek, a tributary to the Peace River.
Environment Canada enforcement officers attended the scene and initiated an investigation, which concluded that the spill was caused by valves that were left open. The company also failed to ensure that operational procedures were followed.",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2015-03-13,Alberta Provincial Court,Fine|Penalty for the EDF,"$125,000","On March 13, 2015, in Alberta Provincial Court, Canadian Natural Resources Limited, pled guilty to a charge for depositing a deleterious substance in waters frequented by fish, an offence under the Fisheries Act. The company was sentenced to a $12,000 fine and a sum of $113,000 to be directed to the Environmental Damages Fund, for a total of $125,000."
City of Calgary,2703 Beddinton Trail NW,Calgary,Alberta,T2T 5N9,Canada,,2703 Beddinton Trail NW,Calgary,Alberta,Not available,Not available,,,Guilty Plea,2014-01-08,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2014-01-08,"Calgary, Provincial Court of Alberta",Fine,"$10,000","In Calgary, Provincial Court of Alberta on January 08, 2014 the City of Calgary entered a plea of guilty in Calgary Courts. The City of Calgary was sentenced to • A $10,000 monetary penalty. • Upgrades to two lift stations located along West Nose Creek to be completed by June 8, 2014. The upgrades include $190,000 of work to upgrade the lift station alarms and monitoring infrastructure to prevent future releases from lift stations into West Nose Creek."
City of Moose Jaw,228 Main Street North,Moose Jaw,Saskatchewan,S6H 3J8,Canada,,,Moose Jaw,Saskatchewan,Not available,Not available,,,Guilty Plea,2010-08-04,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2010-08-04,"Moose Jaw, Saskatchewan",Fine|Penalty for the EDF,"$55,000","The City of Moose Jaw pleaded guilty on August 4, 2010 to one offence under the Fisheries Act for depositing a deleterious substance into fish-bearing waters and was fined a total of $55,000, which includes a $5,000 fine and order to pay $50,000 to the Environmental Damages Fund. The fine contribution to the Environmental Damages Fund will be paid over a five-year period at $10,000 per year and will support programs designed to promote the proper management and control of fisheries and fish habitat, or the conservation, protection of fish or fish habitat in the Moose Jaw River area."
Alberta Capital Wastewater Commission,23262 Township road 540,Fort Sakatchewan,Alberta,T8L 4A2,Canada,,,Gibbons,Alberta,"On August 10, 2012, Environment Canada received notification that a pumping station in Gibbons had failed, and was releasing raw sewage into the Sturgeon River, which is fish-bearing. Enforcement officers immediately responded to the scene and collected samples of the raw sewage bypassing the pumping station into the Sturgeon River. Subsequent sample analysis confirmed that the discharge was deleterious to fish. The ensuing investigation revealed that the ACRWC did not have the appropriate procedures in place to prevent the discharge. It is estimated that 500,000 litres of untreated sewage was discharged into the river over a period of approximately 12 hours.
On July 10, 2014, the Alberta Capital Region Wastewater Commission (ACRWC) plead guilty in Alberta Provincial Court to one count of an offence under the Fisheries Act, related to a release of untreated sewage into the Sturgeon River. The ACRWC was sentenced to a $200,000 penalty. 90% of the penalty will be paid into the Environmental Damages Fund (EDF) to promote the proper management and protection of fish or fish habitat in and around the area impacted.",Not available,,,Guilty Plea,2014-07-10,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2014-07-10,Alberta Provincial Court,Fine,"$200,000","ACRWC plead guilty to 1 count of violating s.36(3) of the Fisheries Act, a penalty of $200,000 was assessed (10% fine, remainder to EDF) plus the completion and implementation of the ACRWC emergency response plan."
All Seasons Mushrooms Inc.,3392 224th Street,Langley,British Columbia,V3A 9J5,Canada,,3392 224th Street,Langley,British Columbia,Not available,Not available,"Mushroom farm to pay $90,000 penalty for Fisheries Act offence",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/mushroom-farm-fisheries-act-offence.html,Guilty Plea,2015-04-24,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,"Environment Canada enforcement officers conducted an inspection of the organic mushroom farm in 2012 and identified a discharge of deleterious effluent into a nearby creek, in contravention of the Fisheries Act. An investigation was initiated. In 2013, another discharge point from the site to the creek was discovered and it was determined that the additional discharge was deleterious to fish.",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2015-04-24,"British Columbia Provincial Court, Surrey, BC",Fine,"$90,000","On April 8, 2015, in British Columbia Provincial Court, All Seasons Mushroom Inc. pleaded guilty to a charge for depositing a deleterious substance into waters frequented by fish, an offence under the Fisheries Act. On April 24, 2015, the company was sentenced to a $1,000 fine and a sum of $89,000 to be directed to the Environmental Damages Fund, for a total of $90,000."
Plains Midstream Canada ULC,"Suite 1400, 607 Eighth Avenue S.W.",Calgary,Alberta,T2P 0A7,Canada,,,"near Sundre, Alberta",Alberta,Not available,Not available,"Plains Midstream must pay $850,000 for pipeline leak",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/plains-midstream-pipeline-leak.html,Guilty Plea,2014-07-10,,Allowed the deposit of a deleterious substance|Failure to inform an officer of a spill,"The charges relate to the failure to notify authorities of a deposit of a deleterious substance into the Red Deer River, which is fish-bearing",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2014-07-10,Provincial Court of Alberta - Criminal Division,Fine|Penalty for the EDF,"$400,000","Plains Midstream Canada ULC was ordered to pay $400 000 of which the sum of $20,000 is to be paid as a fine pursuant to subsection 40(3) of the Fisheries Act to be paid to the receiver general for Canada, and $380,000 as a penalty pursuant to paragraph 79.2(f) of the Fisheries Act to the Environmental Damages Fund. The remainder of the penalty was ordered under provincial legislation."
Shell Canada Ltd.,400 - 4th Avenue S.W. (Corporate Head Office ),Calgary,Alberta,T2P 0J4,Canada,,,Peace River,Alberta,Not available,Not available,"Shell Canada Ltd. is Fined $225,000 after Pleading Guilty to Federal Charges Laid by Environment Canada",http://www.ec.gc.ca/default.asp?lang=En&n=714D9AAE-1&news=ECBE203D-128C-4877-911F-94382591E245,Guilty Plea,2012-06-12,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / General Prohibition / 36(3),2012-06-12,"Peace River, Alberta",Fine,"$225,000","PEACE RIVER, Alta - June 12, 2012 - Shell Canada Limited today pleaded guilty in Peace River Provincial Court to federal charges laid by Environment Canada for releasing a substance harmful to fish into fish-bearing waters. The company was fined a total of $225,000. The company was fined $22,500 for the offence and was also ordered to pay $202,500 to the Environmental Damages Fund (EDF) to be used to promote the conservation and protection of fish and fish habitat in the Peace River."
Teck Metals Ltd.,25 Aldridge Avenue,Trail,British Columbia,V1R 4L8,Canada,,,V1R 4L8,British Columbia,Not available,Not Available,"Teck Metals Ltd. Agrees to Pay $100,000 to Environmental Damages Fund for Recent Chemical Spills ",http://www.ec.gc.ca/default.asp?lang=En&n=714D9AAE-1&news=C41D7D44-F77E-418F-B017-30400C1C306C,Guilty Plea,2011-05-13,,Other,"On Sept. 13, 2010, Environment Canada was notified that contaminated groundwater from the Teck Metals Ltd. facility was leaking into Stoney Creek, which flows directly into the Columbia River. On Oct. 7, 2010, Environment Canada was notified of a mercury spill into the Columbia River from one of the outfalls from the Teck Metals Ltd. facility. Investigations revealed that potential violations under the Fisheries Act had taken placeduringthese instances.
Environment Canada’s enforcement officers and the B.C. Ministry of Environment’s Commercial Environmental Investigations Unit collaborated on a joint investigation into these spills.",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / 40(3)(g),2011-05-13,"Trail, BC","Fine|Other penalty (provincial, charity, etc)|Penalty for the EDF","$100,000","Teck Metals Ltd. has agreed to pay $325,000 for depositing mercury into the Columbia River, and allowing a leachate to overflow into Stoney Creek. This action is in response to two chemical spills that took place in 2010. Of the total amount being paid, $100,000 will go to the Environmental Damages Fund (EDF). The remaining funds will be designated to support a variety of community environmental initiatives."
Bloom Lake General Partner Limited,508-1155 rue University,Toronto,Ontario,H3B 3A7,Canada,,Route 389,Fermont,Quebec,Not available,Not available,Bloom Lake General Partner must pay $7.5 million for environmental infractions,https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/bloom-lake-general-partner-infractions.html,Guilty Plea,2014-12-19,Provincial and Territorial Court,Allowed the deposit of a deleterious substance|Failure to comply with a directive,"Bloom Lake General Partner Limited was ordered to pay $7.5 million in the Criminal and Penal Division of the Court of Québec in Montreal, on December 19, after pleading guilty to 45 charges under the Fisheries Act, resulting from several incidents including the breach of a tailings pond dam.
The charges related to infractions at the Bloom Lake mine site including releases of non-compliant mining effluent and of ferric sulfate into fish-bearing water, and failure to comply with an Inspector’s Direction. The sentence of $7.5 million is the largest penalty ever imposed for environmental infractions in Canada.","Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / FA - 36(3), 40(3)(d), 40(3)(e), 40(3)(f)",2014-12-22,"Chambre criminelle et pénale de la Cour du Québec, Montréal, QC",Fine|Penalty for the EDF,"$7,500,000","On December 19th, 2014, before the Criminal and Penal Division of the Court of Québec in Montreal, Bloom Lake General Partner Limited pled guilty to 45 charges under the Fisheries Act. The charges are related to several infractions at the Bloom Lake mine site including failure to comply with an Inspector’s Direction, the breach of a tailings pond dam, releases of non-compliant mining effluent and a release of ferric sulfate into fish-bearing waters. On December 22nd, 2014, the company was sentenced to pay $7.5 million, the largest penalty ever imposed for environmental infractions in Canada. Of the $7.5 million, $6.83 million will be directed to the Environmental Damages Fund (EDF), representing the largest ever financial contribution to the Fund."
Énergie Valero Inc,"165, chemin des Iles",Lévis,Quebec,G6V 7M5,Canada,,,Agriculture et Agroalimentaire Canada (Ferme Chapais à Lévis) et ruisseau Chapais,Quebec,"Valero Energy Inc. (formerly Ultramar Ltd) (“the company”) is the owner of the Jean-Gaulin Refinery in Lévis, which processes crude oil from overseas shipped by tanker to its deep-water port on the St. Lawrence River.
On or around January 26, 2008, two types of heavy fuel oil were discharged from a pipeline belonging to Ultramar Ltd. According to Ultramar Ltd’s estimate, approximately 200,000 litres of hydrocarbons were spilled. The hydrocarbons were discharged into the creek on the J. C. Chapais farm, on land belonging to Agriculture and Agri-Food Canada.
Following the spill, multiple inspections were carried out by the officers to ensure that the company and its directors were meeting their legal obligation to repair the damage caused to fish habitat. Because the company and its directors had not met that obligation to the satisfaction of Environment and Climate Change Canada, in January 2010 the Case Officer issued a direction requiring remediation work, environmental monitoring over a number of years, and submission of annual reports and results to the Department, among other things.
After that direction was issued, the company carried out significant remediation work to the creek on the J. C. Chapais farm, but the Department did not receive all the data concerning the work and the environmental monitoring as specified in the direction. An investigation was opened in April 2012 due to non-compliance with the direction. That investigation led to charges being laid against the company and its directors.",Not Available,"Valero Energy Inc.–Jean Gaulin Refinery must pay fine of $500,000 for environmental offences",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/valero-energy-jean-gaulin-refinery-offences.html,Guilty Plea,2017-02-24,Provincial and Territorial Court,Failure to comply with a directive,"The investigation conducted by Environment and Climate Change Canada found that Valero Energy Inc.-Jean Gaulin Refinery had committed the following violation six times:

Failure to comply with a directive requiring rehabilitation and environmental monitoring work issued following the deposit of a deleterious substance in water frequented by fish.",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / 40(3)(g),2017-03-01,"Court of Québec, Quebec City courthouse, Quebec",Fine|Penalty for the EDF,"$500,000","The company, Valero Energy Inc., was ordered to pay a total fine of $500,000 before the Criminal and Penal Division of the Court of Québec, in Quebec City, on February 24, 2017, after pleading guilty to six charges. A fine of $120,000 was imposed under the Fisheries Act for violating paragraph 40(3)g) of the Act by failing to comply with a direction issued by an officer, and the company was ordered by the court to pay the amount of $380,000 under paragraph 79.2f) of the Fisheries Act because of the financial benefit it obtained through these violations. The total fine of $500,000 will be directed to the Environmental Damages Fund (EDF)."
SemCAMS ULC,450 – 1st SW ,Calgary,Alberta,T2P 5H1,Canada,,450 – 1st SW ,Calgary,Alberta,Not available,Not Available,"SemCAMS ULC must pay $350,000 for release of industrial wastewater from ruptured pipeline",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/semcams-ulc-industrial-wastewater-ruptured-pipeline.html,Guilty Plea,2013-12-23,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,"SemCAMS ULC was ordered to pay $350,000 on December 23, 2013, in Alberta Provincial Court after pleading guilty to one count under the Fisheries Act and one count under provincial environmental legislation. The charges relate to a release of 852,000 litres of industrial wastewater from a ruptured pipeline near Fox Creek, Alberta.
On August 10, 2010, Environment Canada responded to a report concerning the release of industrial wastewater into muskeg and a small unnamed creek. During the response, hundreds of dead fish were discovered in the creek downstream of the spill. A joint investigation into the release was conducted by Environment Canada and Alberta Environment and Sustainable Resource Development. The wastewater had been generated from the processing of natural gas and liquid hydrocarbons at the SemCAMS ULC facility, and was being transported by an underground pipeline when the pipeline ruptured. Sample analysis determined the wastewater was harmful to fish.",Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / 40(3)(g),2013-12-27,"Edmonton, Alberta","Fine|Other penalty (provincial, charity, etc)|Penalty for the EDF","$200,000","For the count relating to the Fisheries Act (depositing a deleterious substance into water frequented by fish), SemCAMS ULC is required to pay a federal penalty of $200,000. Of this penalty:

$185,000 is to be paid into the Environmental Damages Fund; and
$15,000 is a fine to be paid to the court.

The remaining $150,000 of the total penalty relates to the provincial offence."
"Sinopec Daylight Energy Ltd., a division of the Sinopec Group","112 - 4th Avenue SW, Suite 2700",Calagary,Alberta,,Canada,,LS 10 S 25 T 59 R 21 W 5 M,LS 10 S 25 T 59 R 21 W 5 M,Alberta,Not available,Not Available,,,Guilty Plea,2014-11-06,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / 40(3)(g),2014-11-06,"Alberta Provincial Court, Calrgary, AB",Fine|Penalty for the EDF,"$200,000","On November 6, 2014, before the Alberta Provincial Court, Sinopec Daylight Energy Ltd., pleaded guilty to a charge under the Fisheries Act. The charge relates to a release of 391 cubic meters of process water found to be deleterious to fish, from a broken pipeline. The company was sentenced to a fine of $5,000 and an additional $195,000 to be paid to the Environmental Damages Fund."
Teck Metals Ltd.,"550 Burrard Street, Bentall Tower 5, suite 3300 ",Vancouver,British Columbia,V6C 4L8,Canada,,25 Aldridge Avenue,Trail ,British Columbia,"ROSSLAND, B.C. – November 6, 2013 – Teck Metals Ltd. was sentenced to pay $210,000 in British Columbia Provincial Court for offences under the Fisheries Act and the Spill Reporting Regulation of the Environmental Management Act related to a release of sodium hydroxide into the Columbia River.
On March 5, 2011, approximately 350,000 litres of highly caustic effluent, which is deleterious to fish, was discharged into the Columbia River through an effluent system at Teck Metals in Trail, BC. The toxic release occurred following the disposal of a 50% sodium hydroxide solution into the plant’s effluent stream. The unlawful discharge was not reported to Environment Canada and the Provincial Emergency Program until several days after the incident.
Environment Canada and the British Columbia Ministry of Environment’s Conservation Officers Service conducted a joint investigation into this incident.
In total, Teck Metals Ltd. has been sentenced to pay $210,000 which has been allocated as follows:

$5,000 fine for the charge under the Fisheries Act;
$5,000 fine for the charge under the Spill Reporting Regulation of the Environmental Management Act;
$100,000 payable to the Environmental Damages Fund; and
$100,000 payable to the Habitat Conservation Trust Foundation.

Money paid to the Environmental Damages Fund will fund projects specific to proper management and control of fisheries or fish habitat, or the conservation and protection of fish or fish habitat in the Kootenay River or Columbia River watersheds. A preference will be given to projects in the lower Columbia region (south from Nelson, British Columbia). The factors the court considered in sentencing included the culpability of the accused, prior record, acceptance of responsibility, damage to the environment, and deterrence.
Environment Canada enforcement personnel investigate potential offences under a number of acts and regulations including the Fisheries Act. They help ensure that companies, governmental entities, as well as their respective officials, and the general public comply with legislation and regulations that protect Canada's environment.
The Environmental Damages Fund, which is administered by Environment Canada, was created in 1995 to provide a mechanism for directing funds received as a result of fines, court orders and voluntary payments for the repair of the actual harm done to the environment.",Not available,"Teck Metals must pay $210,000 for sodium hydroxide discharge in river",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/teck-metals-sodium-hydroxide-discharge.html,Guilty Plea,2013-11-04,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / s.40(2),2013-11-06,Provincial Court of British Columbia,Fine,"$210,000","Pleaded Guilty on 2 counts. 
In total, Teck Metals Ltd. has been sentenced to pay $210,000 which has been allocated as follows:

$5,000 fine for the charge under the Fisheries Act;
$5,000 fine for the charge under the Spill Reporting Regulation of the Environmental Management Act;
$100,000 payable to the Environmental Damages Fund; and
$100,000 payable to the Habitat Conservation Trust Foundation."
